Ax,Ay,Az,Gx,Gy,Gz,Label
0.080,0.113,1.014,1.067,-2.791,-0.140,Idle
0.080,0.109,1.009,0.989,-2.774,-0.184,Idle
0.082,0.113,1.010,1.059,-2.756,-0.140,Idle
0.079,0.110,1.008,1.085,-2.739,-0.210,Idle
0.082,0.108,1.013,1.024,-2.774,-0.096,Idle
0.082,0.107,1.008,1.033,-2.747,-0.175,Idle
0.080,0.109,1.009,1.050,-2.765,-0.140,Idle
0.079,0.108,1.008,1.094,-2.747,-0.149,Idle
0.081,0.110,1.013,1.050,-2.765,-0.175,Idle
0.081,0.108,1.007,1.033,-2.756,-0.157,Idle
0.081,0.108,1.010,1.050,-2.747,-0.184,Idle
0.080,0.111,1.010,1.059,-2.730,-0.149,Idle
0.081,0.110,1.012,1.102,-2.783,-0.149,Idle
0.082,0.108,1.009,1.050,-2.765,-0.166,Idle
0.081,0.109,1.009,1.059,-2.747,-0.166,Idle
0.080,0.109,1.010,1.094,-2.774,-0.123,Idle
0.081,0.110,1.011,1.102,-2.800,-0.175,Idle
0.081,0.109,1.011,1.024,-2.747,-0.123,Idle
0.081,0.109,1.009,1.067,-2.739,-0.131,Idle
0.081,0.109,1.011,1.050,-2.791,-0.166,Idle
0.080,0.109,1.010,1.033,-2.809,-0.131,Idle
0.081,0.109,1.010,1.041,-2.774,-0.184,Idle
0.082,0.110,1.011,1.094,-2.739,-0.149,Idle
0.081,0.109,1.011,1.050,-2.774,-0.157,Idle
0.081,0.109,1.010,1.059,-2.747,-0.175,Idle
0.081,0.110,1.010,1.033,-2.747,-0.140,Idle
0.081,0.110,1.010,1.024,-2.774,-0.149,Idle
0.081,0.110,1.011,1.076,-2.791,-0.096,Idle
0.081,0.111,1.011,1.024,-2.730,-0.184,Idle
0.081,0.108,1.008,1.059,-2.739,-0.123,Idle
0.081,0.109,1.011,0.998,-2.765,-0.175,Idle
0.082,0.110,1.010,1.085,-2.774,-0.149,Idle
0.081,0.109,1.012,1.067,-2.774,-0.175,Idle
0.082,0.109,1.009,1.067,-2.756,-0.166,Idle
0.081,0.110,1.011,1.076,-2.747,-0.157,Idle
0.082,0.109,1.011,1.041,-2.765,-0.131,Idle
0.081,0.109,1.011,1.085,-2.730,-0.184,Idle
0.080,0.109,1.010,1.094,-2.765,-0.114,Idle
0.081,0.109,1.010,1.076,-2.747,-0.123,Idle
